inference_probability,interaction_count,micro_assessment_correct,observable,observer_a,observer_b,participant_pseudo,phase_index,quality_reason,self_report,self_report_prompted,session_id,timestamp_ms
0.564754,4,,True,attentive,attentive,syn-p003,6,,omitted,True,syn-s003,420000
0.606222,4,False,True,attentive,attentive,syn-p003,7,,,False,syn-s003,440000
0.773118,3,,True,attentive,attentive,syn-p003,8,,,False,syn-s003,460000
0.982168,6,,True,attentive,attentive,syn-p003,9,,focused,True,syn-s003,480000
0.837834,6,,True,uncertain,attentive,syn-p003,10,,,False,syn-s003,500000
0.468194,3,,True,distracted,attentive,syn-p003,11,,,False,syn-s003,520000
0.884506,3,,True,attentive,distracted,syn-p003,12,,focused,True,syn-s003,540000
,4,,False,distracted,attentive,syn-p003,13,synthetic_signal_insufficient,,False,syn-s003,560000
0.83878,5,True,True,attentive,uncertain,syn-p003,14,,focused,True,syn-s003,580000
0.581331,3,,True,no_observable,attentive,syn-p004,1,,,False,syn-s004,420000
0.619975,3,,True,uncertain,attentive,syn-p004,2,,,False,syn-s004,440000
0.971067,4,,True,attentive,attentive,syn-p004,3,,focused,True,syn-s004,460000
0.620791,2,,True,attentive,attentive,syn-p004,4,,,False,syn-s004,480000
0.524143,3,,True,distracted,attentive,syn-p004,5,,,False,syn-s004,500000
0.849454,5,,True,attentive,uncertain,syn-p004,6,,focused,True,syn-s004,520000
,4,False,False,attentive,attentive,syn-p004,7,synthetic_signal_insufficient,,False,syn-s004,540000
0.752754,4,,True,no_observable,attentive,syn-p004,8,,,False,syn-s004,560000
0.585588,3,,True,distracted,attentive,syn-p004,9,,focused,True,syn-s004,580000
0.815346,4,,True,attentive,attentive,syn-p004,10,,,False,syn-s004,600000
0.871978,3,,True,attentive,uncertain,syn-p004,11,,,False,syn-s004,620000
0.419504,2,,True,attentive,attentive,syn-p004,12,,focused,True,syn-s004,640000
0.594101,4,,True,attentive,attentive,syn-p004,13,,,False,syn-s004,660000
0.580931,4,True,True,attentive,attentive,syn-p004,14,,focused,True,syn-s004,680000
,5,,False,attentive,attentive,syn-p005,1,synthetic_signal_insufficient,,False,syn-s005,520000
0.671795,4,,True,attentive,attentive,syn-p005,2,,,False,syn-s005,540000
0.925433,5,,True,attentive,attentive,syn-p005,3,,focused,True,syn-s005,560000
0.731064,4,,True,attentive,attentive,syn-p005,4,,,False,syn-s005,580000
0.647,3,,True,attentive,distracted,syn-p005,5,,,False,syn-s005,600000
0.608629,2,,True,distracted,distracted,syn-p005,6,,focused,True,syn-s005,620000
0.584437,3,True,True,attentive,attentive,syn-p005,7,,,False,syn-s005,640000
0.710735,5,,True,distracted,attentive,syn-p005,8,,,False,syn-s005,660000
0.788629,3,,True,uncertain,no_observable,syn-p005,9,,focused,True,syn-s005,680000
,3,,False,distracted,distracted,syn-p005,10,synthetic_signal_insufficient,,False,syn-s005,700000
0.736655,5,,True,no_observable,distracted,syn-p005,11,,,False,syn-s005,720000
0.389708,3,,True,distracted,distracted,syn-p005,12,,focused,True,syn-s005,740000
0.524005,4,,True,distracted,distracted,syn-p005,13,,,False,syn-s005,760000
0.558815,2,False,True,attentive,attentive,syn-p005,14,,distracted,True,syn-s005,780000
0.428684,4,,True,attentive,attentive,syn-p006,1,,,False,syn-s006,620000
0.838109,5,,True,uncertain,attentive,syn-p006,2,,,False,syn-s006,640000
0.51254,5,,True,attentive,attentive,syn-p006,3,,distracted,True,syn-s006,660000
,5,,False,attentive,uncertain,syn-p006,4,synthetic_signal_insufficient,,False,syn-s006,680000
0.731767,3,,True,no_observable,attentive,syn-p006,5,,,False,syn-s006,700000
0.512466,4,,True,attentive,attentive,syn-p006,6,,focused,True,syn-s006,720000
0.886242,3,False,True,attentive,attentive,syn-p006,7,,,False,syn-s006,740000
0.540724,3,,True,attentive,attentive,syn-p006,8,,,False,syn-s006,760000
0.620409,3,,True,attentive,attentive,syn-p006,9,,focused,True,syn-s006,780000
0.718168,4,,True,uncertain,attentive,syn-p006,10,,,False,syn-s006,800000
0.617,3,,True,attentive,attentive,syn-p006,11,,,False,syn-s006,820000
0.195163,2,,True,distracted,distracted,syn-p006,12,,focused,True,syn-s006,840000
0.769817,3,,True,attentive,attentive,syn-p006,13,,,False,syn-s006,860000
0.757467,4,False,True,attentive,attentive,syn-p006,14,,focused,True,syn-s006,880000
0.659512,3,,True,attentive,attentive,syn-p007,1,,,False,syn-s007,720000
0.816531,4,,True,attentive,attentive,syn-p007,2,,,False,syn-s007,740000
0.701686,4,,True,attentive,attentive,syn-p007,3,,focused,True,syn-s007,760000
0.508827,2,,True,distracted,distracted,syn-p007,4,,,False,syn-s007,780000
0.276592,3,,True,distracted,attentive,syn-p007,5,,,False,syn-s007,800000
0.794043,3,,True,attentive,attentive,syn-p007,6,,focused,True,syn-s007,820000
0.847896,5,False,True,attentive,attentive,syn-p007,7,,,False,syn-s007,840000
0.94459,5,,True,attentive,attentive,syn-p007,8,,,False,syn-s007,860000
0.655851,4,,True,attentive,uncertain,syn-p007,9,,focused,True,syn-s007,880000
0.551184,2,,True,attentive,attentive,syn-p007,10,,,False,syn-s007,900000
0.72385,4,,True,attentive,attentive,syn-p007,11,,,False,syn-s007,920000
0.22295,3,,True,distracted,distracted,syn-p007,12,,omitted,True,syn-s007,940000
0.724409,3,,True,attentive,attentive,syn-p007,13,,,False,syn-s007,960000
0.458463,2,False,True,distracted,distracted,syn-p007,14,,focused,True,syn-s007,980000
0.789195,2,,True,attentive,attentive,syn-p008,1,,,False,syn-s008,820000
0.570398,3,,True,attentive,attentive,syn-p008,2,,,False,syn-s008,840000
0.796496,5,,True,attentive,no_observable,syn-p008,3,,focused,True,syn-s008,860000
0.677811,5,,True,distracted,attentive,syn-p008,4,,,False,syn-s008,880000
0.497373,3,,True,distracted,no_observable,syn-p008,5,,,False,syn-s008,900000
0.695084,4,,True,attentive,attentive,syn-p008,6,,distracted,True,syn-s008,920000
0.398598,2,False,True,distracted,uncertain,syn-p008,7,,,False,syn-s008,940000
0.972896,3,,True,distracted,attentive,syn-p008,8,,,False,syn-s008,960000
0.521431,2,,True,attentive,attentive,syn-p008,9,,distracted,True,syn-s008,980000
0.952699,6,,True,attentive,uncertain,syn-p008,10,,,False,syn-s008,1000000
0.333992,3,,True,distracted,distracted,syn-p008,11,,,False,syn-s008,1020000
0.31377,1,,True,distracted,distracted,syn-p008,12,,focused,True,syn-s008,1040000
0.6923,3,,True,attentive,attentive,syn-p008,13,,,False,syn-s008,1060000
,4,True,False,distracted,distracted,syn-p008,14,synthetic_signal_insufficient,focused,True,syn-s008,1080000
0.428832,4,,True,attentive,attentive,syn-p009,1,,,False,syn-s009,920000
0.535123,4,,True,attentive,attentive,syn-p009,2,,,False,syn-s009,940000
0.840888,4,,True,uncertain,distracted,syn-p009,3,,focused,True,syn-s009,960000
0.494229,4,,True,attentive,attentive,syn-p009,4,,,False,syn-s009,980000
0.474341,3,,True,attentive,attentive,syn-p009,5,,,False,syn-s009,1000000
0.510538,4,,True,distracted,distracted,syn-p009,6,,distracted,True,syn-s009,1020000
0.625361,4,False,True,attentive,attentive,syn-p009,7,,,False,syn-s009,1040000
,4,,False,distracted,distracted,syn-p009,8,synthetic_signal_insufficient,,False,syn-s009,1060000
0.683361,3,,True,attentive,attentive,syn-p009,9,,omitted,True,syn-s009,1080000
0.825865,5,,True,attentive,attentive,syn-p009,10,,,False,syn-s009,1100000
0.292036,3,,True,distracted,distracted,syn-p009,11,,,False,syn-s009,1120000
0.225445,2,,True,distracted,uncertain,syn-p009,12,,distracted,True,syn-s009,1140000
0.517957,4,,True,distracted,attentive,syn-p009,13,,,False,syn-s009,1160000
0.585796,3,True,True,attentive,attentive,syn-p009,14,,focused,True,syn-s009,1180000
0.471441,3,,True,attentive,attentive,syn-p010,1,,,False,syn-s010,1020000
,4,,False,attentive,attentive,syn-p010,2,synthetic_signal_insufficient,,False,syn-s010,1040000
0.972565,6,,True,attentive,attentive,syn-p010,3,,focused,True,syn-s010,1060000
0.930953,6,,True,distracted,attentive,syn-p010,4,,,False,syn-s010,1080000
0.746983,3,,True,attentive,attentive,syn-p010,5,,,False,syn-s010,1100000
0.376833,4,,True,distracted,attentive,syn-p010,6,,focused,True,syn-s010,1120000
0.813878,5,True,True,uncertain,distracted,syn-p010,7,,,False,syn-s010,1140000
0.950635,4,,True,uncertain,attentive,syn-p010,8,,,False,syn-s010,1160000
0.764163,4,,True,attentive,uncertain,syn-p010,9,,focused,True,syn-s010,1180000
0.960239,5,,True,attentive,attentive,syn-p010,10,,,False,syn-s010,1200000
,2,,False,uncertain,attentive,syn-p010,11,synthetic_signal_insufficient,,False,syn-s010,1220000
0.746083,5,,True,attentive,attentive,syn-p010,12,,focused,True,syn-s010,1240000
0.869294,3,,True,attentive,attentive,syn-p010,13,,,False,syn-s010,1260000
0.99,4,True,True,no_observable,distracted,syn-p010,14,,focused,True,syn-s010,1280000
0.799051,3,,True,distracted,distracted,syn-p011,1,,,False,syn-s011,1120000
0.99,6,,True,attentive,attentive,syn-p011,2,,,False,syn-s011,1140000
0.865677,6,,True,attentive,attentive,syn-p011,3,,focused,True,syn-s011,1160000
0.99,6,,True,attentive,attentive,syn-p011,4,,,False,syn-s011,1180000
,3,,False,distracted,distracted,syn-p011,5,synthetic_signal_insufficient,,False,syn-s011,1200000
0.831507,4,,True,no_observable,attentive,syn-p011,6,,focused,True,syn-s011,1220000
0.697383,3,True,True,attentive,distracted,syn-p011,7,,,False,syn-s011,1240000
0.7886,5,,True,attentive,attentive,syn-p011,8,,,False,syn-s011,1260000
0.969013,4,,True,attentive,attentive,syn-p011,9,,focused,True,syn-s011,1280000
0.737347,3,,True,attentive,distracted,syn-p011,10,,,False,syn-s011,1300000
0.881346,3,,True,attentive,attentive,syn-p011,11,,,False,syn-s011,1320000
0.513674,2,,True,attentive,attentive,syn-p011,12,,distracted,True,syn-s011,1340000
0.791699,3,,True,attentive,attentive,syn-p011,13,,,False,syn-s011,1360000
0.927899,4,True,True,attentive,distracted,syn-p011,14,,focused,True,syn-s011,1380000
0.830887,4,,True,uncertain,attentive,syn-p012,1,,,False,syn-s012,1220000
0.99,5,,True,attentive,distracted,syn-p012,2,,,False,syn-s012,1240000
0.807176,4,,True,attentive,attentive,syn-p012,3,,focused,True,syn-s012,1260000
0.904688,4,,True,attentive,distracted,syn-p012,4,,,False,syn-s012,1280000
0.881137,3,,True,distracted,attentive,syn-p012,5,,,False,syn-s012,1300000
0.373895,2,,True,attentive,distracted,syn-p012,6,,focused,True,syn-s012,1320000
0.609484,4,False,True,attentive,attentive,syn-p012,7,,,False,syn-s012,1340000
0.709707,4,,True,attentive,attentive,syn-p012,8,,,False,syn-s012,1360000
0.680528,3,,True,attentive,attentive,syn-p012,9,,distracted,True,syn-s012,1380000
0.697665,5,,True,attentive,attentive,syn-p012,10,,,False,syn-s012,1400000
0.508532,2,,True,distracted,no_observable,syn-p012,11,,,False,syn-s012,1420000
0.488229,2,,True,attentive,attentive,syn-p012,12,,focused,True,syn-s012,1440000
0.754664,6,,True,attentive,attentive,syn-p012,13,,,False,syn-s012,1460000
0.803076,6,True,True,no_observable,distracted,syn-p012,14,,focused,True,syn-s012,1480000
0.88561,6,,True,attentive,distracted,syn-p013,1,,,False,syn-s013,1320000
0.786287,3,,True,attentive,attentive,syn-p013,2,,,False,syn-s013,1340000
0.651105,3,,True,attentive,distracted,syn-p013,3,,omitted,True,syn-s013,1360000
0.563857,4,,True,attentive,no_observable,syn-p013,4,,,False,syn-s013,1380000
0.497474,3,,True,uncertain,attentive,syn-p013,5,,,False,syn-s013,1400000
0.425452,3,,True,distracted,distracted,syn-p013,6,,focused,True,syn-s013,1420000
0.742902,5,True,True,distracted,attentive,syn-p013,7,,,False,syn-s013,1440000
0.821721,3,,True,attentive,attentive,syn-p013,8,,,False,syn-s013,1460000
0.99,6,,True,attentive,attentive,syn-p013,9,,focused,True,syn-s013,1480000
0.740782,3,,True,attentive,attentive,syn-p013,10,,,False,syn-s013,1500000
0.638988,3,,True,attentive,attentive,syn-p013,11,,,False,syn-s013,1520000
0.787371,5,,True,attentive,distracted,syn-p013,12,,focused,True,syn-s013,1540000
0.650781,3,,True,attentive,attentive,syn-p013,13,,,False,syn-s013,1560000
0.707222,4,False,True,attentive,uncertain,syn-p013,14,,focused,True,syn-s013,1580000
0.638622,3,,True,attentive,attentive,syn-p014,1,,,False,syn-s014,1420000
0.553581,4,,True,attentive,attentive,syn-p014,2,,,False,syn-s014,1440000
0.840413,5,,True,attentive,attentive,syn-p014,3,,distracted,True,syn-s014,1460000
0.612031,2,,True,attentive,attentive,syn-p014,4,,,False,syn-s014,1480000
0.499382,5,,True,attentive,attentive,syn-p014,5,,,False,syn-s014,1500000
0.790908,3,,True,attentive,attentive,syn-p014,6,,omitted,True,syn-s014,1520000
0.744228,3,True,True,attentive,attentive,syn-p014,7,,,False,syn-s014,1540000
0.906207,6,,True,attentive,attentive,syn-p014,8,,,False,syn-s014,1560000
,4,,False,attentive,attentive,syn-p014,9,synthetic_signal_insufficient,omitted,True,syn-s014,1580000
0.628374,3,,True,attentive,uncertain,syn-p014,10,,,False,syn-s014,1600000
0.775338,4,,True,distracted,attentive,syn-p014,11,,,False,syn-s014,1620000
0.731238,3,,True,attentive,attentive,syn-p014,12,,focused,True,syn-s014,1640000
0.652398,4,,True,attentive,attentive,syn-p014,13,,,False,syn-s014,1660000
0.688282,4,False,True,attentive,attentive,syn-p014,14,,focused,True,syn-s014,1680000
0.499069,2,,True,attentive,attentive,syn-p015,1,,,False,syn-s015,1520000
0.943741,6,,True,attentive,attentive,syn-p015,2,,,False,syn-s015,1540000
,4,,False,uncertain,attentive,syn-p015,3,synthetic_signal_insufficient,focused,True,syn-s015,1560000
0.673132,3,,True,attentive,distracted,syn-p015,4,,,False,syn-s015,1580000
0.472051,1,,True,no_observable,distracted,syn-p015,5,,,False,syn-s015,1600000
0.222307,3,,True,attentive,attentive,syn-p015,6,,distracted,True,syn-s015,1620000
0.738482,5,True,True,attentive,attentive,syn-p015,7,,,False,syn-s015,1640000
0.919339,5,,True,attentive,attentive,syn-p015,8,,,False,syn-s015,1660000
0.864841,4,,True,attentive,attentive,syn-p015,9,,focused,True,syn-s015,1680000
0.819273,5,,True,attentive,attentive,syn-p015,10,,,False,syn-s015,1700000
0.559952,3,,True,attentive,attentive,syn-p015,11,,,False,syn-s015,1720000
,4,,False,attentive,attentive,syn-p015,12,synthetic_signal_insufficient,focused,True,syn-s015,1740000
0.841345,3,,True,attentive,distracted,syn-p015,13,,,False,syn-s015,1760000
0.677302,3,True,True,distracted,attentive,syn-p015,14,,focused,True,syn-s015,1780000
0.624787,4,,True,attentive,distracted,syn-p016,1,,,False,syn-s016,1620000
0.566676,2,,True,attentive,attentive,syn-p016,2,,,False,syn-s016,1640000
0.96243,5,,True,attentive,distracted,syn-p016,3,,focused,True,syn-s016,1660000
0.690693,2,,True,attentive,distracted,syn-p016,4,,,False,syn-s016,1680000
0.546664,3,,True,attentive,attentive,syn-p016,5,,,False,syn-s016,1700000
,4,,False,attentive,distracted,syn-p016,6,synthetic_signal_insufficient,distracted,True,syn-s016,1720000
0.549438,4,True,True,distracted,distracted,syn-p016,7,,,False,syn-s016,1740000
0.539775,3,,True,attentive,attentive,syn-p016,8,,,False,syn-s016,1760000
0.693573,5,,True,attentive,attentive,syn-p016,9,,unsure,True,syn-s016,1780000
0.782757,3,,True,uncertain,attentive,syn-p016,10,,,False,syn-s016,1800000
0.734161,3,,True,attentive,attentive,syn-p016,11,,,False,syn-s016,1820000
0.62146,2,,True,attentive,uncertain,syn-p016,12,,omitted,True,syn-s016,1840000
0.466222,4,,True,attentive,uncertain,syn-p016,13,,,False,syn-s016,1860000
0.50452,5,True,True,attentive,attentive,syn-p016,14,,focused,True,syn-s016,1880000
0.717127,4,,True,attentive,attentive,syn-p017,1,,,False,syn-s017,1720000
0.44503,3,,True,attentive,no_observable,syn-p017,2,,,False,syn-s017,1740000
0.842516,3,,True,distracted,attentive,syn-p017,3,,focused,True,syn-s017,1760000
0.383404,2,,True,attentive,no_observable,syn-p017,4,,,False,syn-s017,1780000
0.453876,3,,True,distracted,distracted,syn-p017,5,,,False,syn-s017,1800000
0.715833,4,,True,attentive,attentive,syn-p017,6,,unsure,True,syn-s017,1820000
0.532057,4,True,True,attentive,attentive,syn-p017,7,,,False,syn-s017,1840000
0.653219,3,,True,attentive,attentive,syn-p017,8,,,False,syn-s017,1860000
0.583306,5,,True,attentive,attentive,syn-p017,9,,focused,True,syn-s017,1880000
0.779243,4,,True,distracted,distracted,syn-p017,10,,,False,syn-s017,1900000
0.405575,2,,True,distracted,distracted,syn-p017,11,,,False,syn-s017,1920000
0.537919,2,,True,attentive,attentive,syn-p017,12,,distracted,True,syn-s017,1940000
0.688906,4,,True,attentive,attentive,syn-p017,13,,,False,syn-s017,1960000
0.65862,4,False,True,distracted,uncertain,syn-p017,14,,focused,True,syn-s017,1980000
0.643504,5,,True,attentive,attentive,syn-p018,1,,,False,syn-s018,1820000
0.775935,5,,True,attentive,distracted,syn-p018,2,,,False,syn-s018,1840000
0.816953,4,,True,attentive,attentive,syn-p018,3,,focused,True,syn-s018,1860000
0.694161,4,,True,uncertain,attentive,syn-p018,4,,,False,syn-s018,1880000
0.727248,2,,True,attentive,attentive,syn-p018,5,,,False,syn-s018,1900000
0.479437,2,,True,distracted,attentive,syn-p018,6,,focused,True,syn-s018,1920000
0.477306,3,True,True,distracted,distracted,syn-p018,7,,,False,syn-s018,1940000
0.666955,2,,True,attentive,attentive,syn-p018,8,,,False,syn-s018,1960000
0.829408,5,,True,attentive,attentive,syn-p018,9,,focused,True,syn-s018,1980000
0.547605,3,,True,no_observable,attentive,syn-p018,10,,,False,syn-s018,2000000
0.57109,3,,True,attentive,attentive,syn-p018,11,,,False,syn-s018,2020000
0.606092,5,,True,no_observable,attentive,syn-p018,12,,unsure,True,syn-s018,2040000
0.649559,3,,True,distracted,attentive,syn-p018,13,,,False,syn-s018,2060000
0.818282,3,True,True,attentive,attentive,syn-p018,14,,focused,True,syn-s018,2080000
0.51682,4,,True,distracted,distracted,syn-p019,1,,,False,syn-s019,1920000
0.463717,4,,True,attentive,attentive,syn-p019,2,,,False,syn-s019,1940000
0.536236,4,,True,distracted,attentive,syn-p019,3,,focused,True,syn-s019,1960000
0.518183,3,,True,distracted,distracted,syn-p019,4,,,False,syn-s019,1980000
0.188809,1,,True,distracted,distracted,syn-p019,5,,,False,syn-s019,2000000
0.170044,2,,True,distracted,no_observable,syn-p019,6,,omitted,True,syn-s019,2020000
0.554495,2,False,True,distracted,distracted,syn-p019,7,,,False,syn-s019,2040000
0.418758,3,,True,distracted,distracted,syn-p019,8,,,False,syn-s019,2060000
0.513594,3,,True,attentive,attentive,syn-p019,9,,distracted,True,syn-s019,2080000
,3,,False,attentive,attentive,syn-p019,10,synthetic_signal_insufficient,,False,syn-s019,2100000
0.59481,4,,True,attentive,attentive,syn-p019,11,,,False,syn-s019,2120000
0.699948,5,,True,attentive,attentive,syn-p019,12,,distracted,True,syn-s019,2140000
0.744635,2,,True,attentive,attentive,syn-p019,13,,,False,syn-s019,2160000
0.760469,4,True,True,distracted,attentive,syn-p019,14,,focused,True,syn-s019,2180000
0.686848,5,,True,distracted,attentive,syn-p020,1,,,False,syn-s020,2020000
0.839124,4,,True,attentive,attentive,syn-p020,2,,,False,syn-s020,2040000
0.702189,5,,True,attentive,attentive,syn-p020,3,,focused,True,syn-s020,2060000
,3,,False,attentive,attentive,syn-p020,4,synthetic_signal_insufficient,,False,syn-s020,2080000
0.95555,5,,True,attentive,attentive,syn-p020,5,,,False,syn-s020,2100000
0.660114,5,,True,no_observable,attentive,syn-p020,6,,distracted,True,syn-s020,2120000
0.975731,4,True,True,attentive,attentive,syn-p020,7,,,False,syn-s020,2140000
0.723138,5,,True,attentive,distracted,syn-p020,8,,,False,syn-s020,2160000
0.959125,5,,True,attentive,attentive,syn-p020,9,,focused,True,syn-s020,2180000
0.720261,4,,True,attentive,attentive,syn-p020,10,,,False,syn-s020,2200000
0.377797,4,,True,attentive,attentive,syn-p020,11,,,False,syn-s020,2220000
0.522554,2,,True,attentive,attentive,syn-p020,12,,focused,True,syn-s020,2240000
,5,,False,attentive,attentive,syn-p020,13,synthetic_signal_insufficient,,False,syn-s020,2260000
0.99,5,True,True,attentive,distracted,syn-p020,14,,focused,True,syn-s020,2280000
0.474022,2,,True,attentive,uncertain,syn-p021,1,,,False,syn-s021,2120000
0.527695,4,,True,attentive,attentive,syn-p021,2,,,False,syn-s021,2140000
0.99,4,,True,distracted,distracted,syn-p021,3,,focused,True,syn-s021,2160000
0.879627,5,,True,attentive,attentive,syn-p021,4,,,False,syn-s021,2180000
0.742229,3,,True,uncertain,attentive,syn-p021,5,,,False,syn-s021,2200000
0.726426,3,,True,attentive,attentive,syn-p021,6,,focused,True,syn-s021,2220000
,3,False,False,attentive,attentive,syn-p021,7,synthetic_signal_insufficient,,False,syn-s021,2240000
0.592397,3,,True,attentive,distracted,syn-p021,8,,,False,syn-s021,2260000
0.844078,5,,True,attentive,uncertain,syn-p021,9,,unsure,True,syn-s021,2280000
0.522305,3,,True,attentive,attentive,syn-p021,10,,,False,syn-s021,2300000
0.637703,4,,True,attentive,attentive,syn-p021,11,,,False,syn-s021,2320000
0.409923,2,,True,no_observable,attentive,syn-p021,12,,distracted,True,syn-s021,2340000
0.811422,4,,True,attentive,attentive,syn-p021,13,,,False,syn-s021,2360000
0.752655,5,True,True,attentive,distracted,syn-p021,14,,focused,True,syn-s021,2380000
,3,,False,attentive,distracted,syn-p022,1,synthetic_signal_insufficient,,False,syn-s022,2220000
0.966478,5,,True,attentive,attentive,syn-p022,2,,,False,syn-s022,2240000
0.955728,5,,True,attentive,attentive,syn-p022,3,,focused,True,syn-s022,2260000
0.481829,3,,True,distracted,attentive,syn-p022,4,,,False,syn-s022,2280000
0.691234,3,,True,attentive,attentive,syn-p022,5,,,False,syn-s022,2300000
0.727782,5,,True,attentive,attentive,syn-p022,6,,omitted,True,syn-s022,2320000
0.943255,5,True,True,attentive,attentive,syn-p022,7,,,False,syn-s022,2340000
0.861573,5,,True,attentive,attentive,syn-p022,8,,,False,syn-s022,2360000
0.695727,4,,True,attentive,distracted,syn-p022,9,,focused,True,syn-s022,2380000
0.726915,3,,True,attentive,attentive,syn-p022,10,,,False,syn-s022,2400000
0.770998,3,,True,attentive,attentive,syn-p022,11,,,False,syn-s022,2420000
0.597527,3,,True,attentive,attentive,syn-p022,12,,distracted,True,syn-s022,2440000
0.791838,5,,True,distracted,attentive,syn-p022,13,,,False,syn-s022,2460000
0.866555,3,True,True,attentive,attentive,syn-p022,14,,focused,True,syn-s022,2480000
0.944053,3,,True,no_observable,attentive,syn-p023,1,,,False,syn-s023,2320000
0.953864,5,,True,attentive,attentive,syn-p023,2,,,False,syn-s023,2340000
0.838049,4,,True,attentive,distracted,syn-p023,3,,focused,True,syn-s023,2360000
0.805229,4,,True,no_observable,attentive,syn-p023,4,,,False,syn-s023,2380000
0.491919,2,,True,attentive,distracted,syn-p023,5,,,False,syn-s023,2400000
0.717172,5,,True,distracted,distracted,syn-p023,6,,focused,True,syn-s023,2420000
0.60996,4,False,True,uncertain,attentive,syn-p023,7,,,False,syn-s023,2440000
0.99,3,,True,attentive,attentive,syn-p023,8,,,False,syn-s023,2460000
0.769169,5,,True,attentive,attentive,syn-p023,9,,focused,True,syn-s023,2480000
0.493724,4,,True,attentive,attentive,syn-p023,10,,,False,syn-s023,2500000
0.533611,2,,True,attentive,attentive,syn-p023,11,,,False,syn-s023,2520000
0.297054,2,,True,distracted,distracted,syn-p023,12,,focused,True,syn-s023,2540000
0.762776,4,,True,no_observable,attentive,syn-p023,13,,,False,syn-s023,2560000
0.832794,5,True,True,distracted,attentive,syn-p023,14,,distracted,True,syn-s023,2580000
0.592899,3,,True,attentive,attentive,syn-p024,1,,,False,syn-s024,2420000
0.850325,5,,True,attentive,attentive,syn-p024,2,,,False,syn-s024,2440000
0.528317,2,,True,attentive,uncertain,syn-p024,3,,focused,True,syn-s024,2460000
0.565717,3,,True,uncertain,distracted,syn-p024,4,,,False,syn-s024,2480000
0.752723,4,,True,attentive,distracted,syn-p024,5,,,False,syn-s024,2500000
0.459257,4,,True,attentive,attentive,syn-p024,6,,distracted,True,syn-s024,2520000
0.403726,4,True,True,attentive,no_observable,syn-p024,7,,,False,syn-s024,2540000
0.701615,3,,True,distracted,distracted,syn-p024,8,,,False,syn-s024,2560000
0.734778,5,,True,attentive,attentive,syn-p024,9,,focused,True,syn-s024,2580000
0.518672,3,,True,attentive,distracted,syn-p024,10,,,False,syn-s024,2600000
,3,,False,distracted,distracted,syn-p024,11,synthetic_signal_insufficient,,False,syn-s024,2620000
0.568457,2,,True,distracted,distracted,syn-p024,12,,focused,True,syn-s024,2640000
0.76676,5,,True,distracted,attentive,syn-p024,13,,,False,syn-s024,2660000
