participant_pseudo,window_id,group_a,group_b,label,probability,observable,quality_reason
syn-p013,syn-w013-06,a1,b1,0,0.498813,True,
syn-p013,syn-w013-07,a1,b1,1,0.730749,True,
syn-p013,syn-w013-08,a1,b1,0,0.137961,True,
syn-p013,syn-w013-09,a1,b1,1,0.826799,True,
syn-p013,syn-w013-10,a1,b1,,,False,synthetic_signal_insufficient
syn-p014,syn-w014-01,a2,b2,0,0.32391,True,
syn-p014,syn-w014-02,a2,b2,,,False,synthetic_signal_insufficient
syn-p014,syn-w014-03,a2,b2,1,0.579058,True,
syn-p014,syn-w014-04,a2,b2,1,0.420415,True,
syn-p014,syn-w014-05,a2,b2,1,0.726813,True,
syn-p014,syn-w014-06,a2,b2,0,0.101859,True,
syn-p014,syn-w014-07,a2,b2,0,0.146814,True,
syn-p014,syn-w014-08,a2,b2,0,0.365263,True,
syn-p014,syn-w014-09,a2,b2,1,0.479789,True,
syn-p014,syn-w014-10,a2,b2,1,0.428157,True,
syn-p015,syn-w015-01,a1,b2,0,0.139567,True,
syn-p015,syn-w015-02,a1,b2,0,0.134094,True,
syn-p015,syn-w015-03,a1,b2,0,0.270827,True,
syn-p015,syn-w015-04,a1,b2,0,0.393683,True,
syn-p015,syn-w015-05,a1,b2,0,0.44957,True,
syn-p015,syn-w015-06,a1,b2,1,0.558933,True,
syn-p015,syn-w015-07,a1,b2,,,False,synthetic_signal_insufficient
syn-p015,syn-w015-08,a1,b2,0,0.067968,True,
syn-p015,syn-w015-09,a1,b2,0,0.147743,True,
syn-p015,syn-w015-10,a1,b2,1,0.680953,True,
syn-p016,syn-w016-01,a2,b1,0,0.448157,True,
syn-p016,syn-w016-02,a2,b1,0,0.451489,True,
syn-p016,syn-w016-03,a2,b1,1,0.756012,True,
syn-p016,syn-w016-04,a2,b1,0,0.298354,True,
syn-p016,syn-w016-05,a2,b1,,,False,synthetic_signal_insufficient
syn-p016,syn-w016-06,a2,b1,0,0.357949,True,
syn-p016,syn-w016-07,a2,b1,0,0.171628,True,
syn-p016,syn-w016-08,a2,b1,1,0.599655,True,
syn-p016,syn-w016-09,a2,b1,0,0.266029,True,
syn-p016,syn-w016-10,a2,b1,1,0.506872,True,
syn-p017,syn-w017-01,a1,b1,1,0.50317,True,
syn-p017,syn-w017-02,a1,b1,1,0.599196,True,
syn-p017,syn-w017-03,a1,b1,0,0.104893,True,
syn-p017,syn-w017-04,a1,b1,0,0.328075,True,
syn-p017,syn-w017-05,a1,b1,0,0.038668,True,
syn-p017,syn-w017-06,a1,b1,0,0.0825,True,
syn-p017,syn-w017-07,a1,b1,0,0.429017,True,
syn-p017,syn-w017-08,a1,b1,1,0.631177,True,
syn-p017,syn-w017-09,a1,b1,0,0.166467,True,
syn-p017,syn-w017-10,a1,b1,,,False,synthetic_signal_insufficient
syn-p018,syn-w018-01,a2,b2,1,0.522959,True,
syn-p018,syn-w018-02,a2,b2,,,False,synthetic_signal_insufficient
syn-p018,syn-w018-03,a2,b2,1,0.566155,True,
syn-p018,syn-w018-04,a2,b2,0,0.165766,True,
syn-p018,syn-w018-05,a2,b2,1,0.712673,True,
syn-p018,syn-w018-06,a2,b2,0,0.457363,True,
syn-p018,syn-w018-07,a2,b2,0,0.288165,True,
syn-p018,syn-w018-08,a2,b2,,,False,synthetic_signal_insufficient
syn-p018,syn-w018-09,a2,b2,0,0.195669,True,
syn-p018,syn-w018-10,a2,b2,1,0.344974,True,
syn-p019,syn-w019-01,a1,b2,1,0.640533,True,
syn-p019,syn-w019-02,a1,b2,0,0.066564,True,
syn-p019,syn-w019-03,a1,b2,0,0.080219,True,
syn-p019,syn-w019-04,a1,b2,0,0.460018,True,
syn-p019,syn-w019-05,a1,b2,0,0.498171,True,
syn-p019,syn-w019-06,a1,b2,1,0.835436,True,
syn-p019,syn-w019-07,a1,b2,0,0.46016,True,
syn-p019,syn-w019-08,a1,b2,1,0.781528,True,
syn-p019,syn-w019-09,a1,b2,0,0.247245,True,
syn-p019,syn-w019-10,a1,b2,1,0.630776,True,
syn-p020,syn-w020-01,a2,b1,0,0.450433,True,
syn-p020,syn-w020-02,a2,b1,1,0.607101,True,
syn-p020,syn-w020-03,a2,b1,1,0.460409,True,
syn-p020,syn-w020-04,a2,b1,1,0.315842,True,
syn-p020,syn-w020-05,a2,b1,,,False,synthetic_signal_insufficient
syn-p020,syn-w020-06,a2,b1,0,0.189901,True,
syn-p020,syn-w020-07,a2,b1,1,0.64006,True,
syn-p020,syn-w020-08,a2,b1,0,0.071248,True,
syn-p020,syn-w020-09,a2,b1,1,0.318087,True,
syn-p020,syn-w020-10,a2,b1,1,0.650856,True,
syn-p021,syn-w021-01,a1,b1,0,0.11202,True,
syn-p021,syn-w021-02,a1,b1,1,0.533653,True,
syn-p021,syn-w021-03,a1,b1,,,False,synthetic_signal_insufficient
syn-p021,syn-w021-04,a1,b1,0,0.387556,True,
syn-p021,syn-w021-05,a1,b1,1,0.669435,True,
syn-p021,syn-w021-06,a1,b1,1,0.725622,True,
syn-p021,syn-w021-07,a1,b1,0,0.364072,True,
syn-p021,syn-w021-08,a1,b1,1,0.898121,True,
syn-p021,syn-w021-09,a1,b1,0,0.412424,True,
syn-p021,syn-w021-10,a1,b1,0,0.327152,True,
syn-p022,syn-w022-01,a2,b2,0,0.306889,True,
syn-p022,syn-w022-02,a2,b2,1,0.646015,True,
syn-p022,syn-w022-03,a2,b2,0,0.195127,True,
syn-p022,syn-w022-04,a2,b2,1,0.309231,True,
syn-p022,syn-w022-05,a2,b2,1,0.458912,True,
syn-p022,syn-w022-06,a2,b2,0,0.212245,True,
syn-p022,syn-w022-07,a2,b2,0,0.448429,True,
syn-p022,syn-w022-08,a2,b2,,,False,synthetic_signal_insufficient
syn-p022,syn-w022-09,a2,b2,1,0.527445,True,
syn-p022,syn-w022-10,a2,b2,1,0.566019,True,
syn-p023,syn-w023-01,a1,b2,1,0.526448,True,
syn-p023,syn-w023-02,a1,b2,1,0.710961,True,
syn-p023,syn-w023-03,a1,b2,0,0.487214,True,
syn-p023,syn-w023-04,a1,b2,1,0.880623,True,
syn-p023,syn-w023-05,a1,b2,1,0.545704,True,
syn-p023,syn-w023-06,a1,b2,,,False,synthetic_signal_insufficient
syn-p023,syn-w023-07,a1,b2,1,0.902728,True,
syn-p023,syn-w023-08,a1,b2,1,0.718429,True,
syn-p023,syn-w023-09,a1,b2,0,0.222903,True,
syn-p023,syn-w023-10,a1,b2,0,0.240717,True,
syn-p024,syn-w024-01,a2,b1,0,0.130607,True,
syn-p024,syn-w024-02,a2,b1,1,0.511668,True,
syn-p024,syn-w024-03,a2,b1,1,0.363583,True,
syn-p024,syn-w024-04,a2,b1,0,0.503633,True,
syn-p024,syn-w024-05,a2,b1,0,0.059028,True,
syn-p024,syn-w024-06,a2,b1,1,0.41425,True,
syn-p024,syn-w024-07,a2,b1,1,0.293838,True,
syn-p024,syn-w024-08,a2,b1,0,0.141904,True,
syn-p024,syn-w024-09,a2,b1,1,0.752669,True,
syn-p024,syn-w024-10,a2,b1,1,0.429229,True,
syn-p025,syn-w025-01,a1,b1,1,0.892954,True,
syn-p025,syn-w025-02,a1,b1,0,0.077318,True,
syn-p025,syn-w025-03,a1,b1,,,False,synthetic_signal_insufficient
syn-p025,syn-w025-04,a1,b1,0,0.038306,True,
syn-p025,syn-w025-05,a1,b1,1,0.51615,True,
syn-p025,syn-w025-06,a1,b1,1,0.862191,True,
syn-p025,syn-w025-07,a1,b1,1,0.662861,True,
syn-p025,syn-w025-08,a1,b1,1,0.850213,True,
syn-p025,syn-w025-09,a1,b1,,,False,synthetic_signal_insufficient
syn-p025,syn-w025-10,a1,b1,0,0.041732,True,
syn-p026,syn-w026-01,a2,b2,,,False,synthetic_signal_insufficient
syn-p026,syn-w026-02,a2,b2,0,0.205808,True,
syn-p026,syn-w026-03,a2,b2,0,0.22026,True,
syn-p026,syn-w026-04,a2,b2,1,0.337655,True,
syn-p026,syn-w026-05,a2,b2,1,0.435508,True,
syn-p026,syn-w026-06,a2,b2,1,0.685127,True,
syn-p026,syn-w026-07,a2,b2,1,0.298769,True,
syn-p026,syn-w026-08,a2,b2,0,0.348304,True,
syn-p026,syn-w026-09,a2,b2,1,0.479582,True,
syn-p026,syn-w026-10,a2,b2,1,0.350025,True,
syn-p027,syn-w027-01,a1,b2,1,0.969711,True,
syn-p027,syn-w027-02,a1,b2,0,0.340349,True,
syn-p027,syn-w027-03,a1,b2,1,0.664918,True,
syn-p027,syn-w027-04,a1,b2,1,0.576668,True,
syn-p027,syn-w027-05,a1,b2,1,0.819358,True,
syn-p027,syn-w027-06,a1,b2,,,False,synthetic_signal_insufficient
syn-p027,syn-w027-07,a1,b2,1,0.823491,True,
syn-p027,syn-w027-08,a1,b2,1,0.653542,True,
syn-p027,syn-w027-09,a1,b2,1,0.86985,True,
syn-p027,syn-w027-10,a1,b2,1,0.59122,True,
syn-p028,syn-w028-01,a2,b1,1,0.476829,True,
syn-p028,syn-w028-02,a2,b1,1,0.457006,True,
syn-p028,syn-w028-03,a2,b1,1,0.650144,True,
syn-p028,syn-w028-04,a2,b1,,,False,synthetic_signal_insufficient
syn-p028,syn-w028-05,a2,b1,0,0.388974,True,
syn-p028,syn-w028-06,a2,b1,1,0.660357,True,
syn-p028,syn-w028-07,a2,b1,1,0.489849,True,
syn-p028,syn-w028-08,a2,b1,1,0.326209,True,
syn-p028,syn-w028-09,a2,b1,0,0.258051,True,
syn-p028,syn-w028-10,a2,b1,0,0.076849,True,
syn-p029,syn-w029-01,a1,b1,1,0.954609,True,
syn-p029,syn-w029-02,a1,b1,0,0.089655,True,
syn-p029,syn-w029-03,a1,b1,0,0.38158,True,
syn-p029,syn-w029-04,a1,b1,0,0.50359,True,
syn-p029,syn-w029-05,a1,b1,0,0.032741,True,
syn-p029,syn-w029-06,a1,b1,0,0.114769,True,
syn-p029,syn-w029-07,a1,b1,0,0.099467,True,
syn-p029,syn-w029-08,a1,b1,1,0.792506,True,
syn-p029,syn-w029-09,a1,b1,,,False,synthetic_signal_insufficient
syn-p029,syn-w029-10,a1,b1,1,0.67529,True,
syn-p030,syn-w030-01,a2,b2,,,False,synthetic_signal_insufficient
syn-p030,syn-w030-02,a2,b2,0,0.137477,True,
syn-p030,syn-w030-03,a2,b2,0,0.300221,True,
syn-p030,syn-w030-04,a2,b2,0,0.281613,True,
syn-p030,syn-w030-05,a2,b2,1,0.413072,True,
syn-p030,syn-w030-06,a2,b2,1,0.761032,True,
syn-p030,syn-w030-07,a2,b2,,,False,synthetic_signal_insufficient
syn-p030,syn-w030-08,a2,b2,1,0.344636,True,
syn-p030,syn-w030-09,a2,b2,0,0.124001,True,
syn-p030,syn-w030-10,a2,b2,1,0.621773,True,
syn-p031,syn-w031-01,a1,b2,0,0.157259,True,
syn-p031,syn-w031-02,a1,b2,0,0.479729,True,
syn-p031,syn-w031-03,a1,b2,1,0.64895,True,
syn-p031,syn-w031-04,a1,b2,1,0.716403,True,
syn-p031,syn-w031-05,a1,b2,1,0.855177,True,
syn-p031,syn-w031-06,a1,b2,1,0.534441,True,
syn-p031,syn-w031-07,a1,b2,1,0.928915,True,
syn-p031,syn-w031-08,a1,b2,1,0.596621,True,
syn-p031,syn-w031-09,a1,b2,1,0.690199,True,
syn-p031,syn-w031-10,a1,b2,0,0.18223,True,
syn-p032,syn-w032-01,a2,b1,1,0.374531,True,
syn-p032,syn-w032-02,a2,b1,0,0.420514,True,
syn-p032,syn-w032-03,a2,b1,0,0.349395,True,
syn-p032,syn-w032-04,a2,b1,,,False,synthetic_signal_insufficient
syn-p032,syn-w032-05,a2,b1,0,0.486464,True,
syn-p032,syn-w032-06,a2,b1,1,0.65785,True,
syn-p032,syn-w032-07,a2,b1,0,0.072494,True,
syn-p032,syn-w032-08,a2,b1,0,0.332889,True,
syn-p032,syn-w032-09,a2,b1,0,0.269422,True,
syn-p032,syn-w032-10,a2,b1,,,False,synthetic_signal_insufficient
syn-p033,syn-w033-01,a1,b1,0,0.471903,True,
syn-p033,syn-w033-02,a1,b1,,,False,synthetic_signal_insufficient
syn-p033,syn-w033-03,a1,b1,0,0.316068,True,
syn-p033,syn-w033-04,a1,b1,1,0.701174,True,
syn-p033,syn-w033-05,a1,b1,1,0.551781,True,
syn-p033,syn-w033-06,a1,b1,1,0.783737,True,
syn-p033,syn-w033-07,a1,b1,0,0.346678,True,
syn-p033,syn-w033-08,a1,b1,0,0.167152,True,
syn-p033,syn-w033-09,a1,b1,1,0.58965,True,
syn-p033,syn-w033-10,a1,b1,1,0.83543,True,
syn-p034,syn-w034-01,a2,b2,0,0.220853,True,
syn-p034,syn-w034-02,a2,b2,1,0.666104,True,
syn-p034,syn-w034-03,a2,b2,0,0.312592,True,
syn-p034,syn-w034-04,a2,b2,1,0.320657,True,
syn-p034,syn-w034-05,a2,b2,0,0.132613,True,
syn-p034,syn-w034-06,a2,b2,1,0.311514,True,
syn-p034,syn-w034-07,a2,b2,,,False,synthetic_signal_insufficient
syn-p034,syn-w034-08,a2,b2,0,0.459314,True,
syn-p034,syn-w034-09,a2,b2,0,0.485823,True,
syn-p034,syn-w034-10,a2,b2,1,0.532651,True,
syn-p035,syn-w035-01,a1,b2,1,0.565852,True,
syn-p035,syn-w035-02,a1,b2,0,0.142148,True,
syn-p035,syn-w035-03,a1,b2,0,0.288427,True,
syn-p035,syn-w035-04,a1,b2,0,0.227547,True,
syn-p035,syn-w035-05,a1,b2,,,False,synthetic_signal_insufficient
syn-p035,syn-w035-06,a1,b2,1,0.715875,True,
syn-p035,syn-w035-07,a1,b2,0,0.104882,True,
syn-p035,syn-w035-08,a1,b2,1,0.536237,True,
syn-p035,syn-w035-09,a1,b2,0,0.247561,True,
syn-p035,syn-w035-10,a1,b2,1,0.693313,True,
syn-p036,syn-w036-01,a2,b1,0,0.062142,True,
syn-p036,syn-w036-02,a2,b1,0,0.213461,True,
syn-p036,syn-w036-03,a2,b1,0,0.067704,True,
syn-p036,syn-w036-04,a2,b1,0,0.232527,True,
syn-p036,syn-w036-05,a2,b1,1,0.712089,True,
syn-p036,syn-w036-06,a2,b1,0,0.192882,True,
syn-p036,syn-w036-07,a2,b1,1,0.39749,True,
syn-p036,syn-w036-08,a2,b1,1,0.693442,True,
syn-p036,syn-w036-09,a2,b1,0,0.177295,True,
syn-p036,syn-w036-10,a2,b1,,,False,synthetic_signal_insufficient
syn-p037,syn-w037-01,a1,b1,1,0.766704,True,
syn-p037,syn-w037-02,a1,b1,,,False,synthetic_signal_insufficient
syn-p037,syn-w037-03,a1,b1,0,0.230298,True,
syn-p037,syn-w037-04,a1,b1,1,0.576956,True,
syn-p037,syn-w037-05,a1,b1,1,0.951078,True,
syn-p037,syn-w037-06,a1,b1,1,0.559073,True,
syn-p037,syn-w037-07,a1,b1,0,0.480477,True,
syn-p037,syn-w037-08,a1,b1,,,False,synthetic_signal_insufficient
syn-p037,syn-w037-09,a1,b1,1,0.903444,True,
syn-p037,syn-w037-10,a1,b1,1,0.613096,True,
syn-p038,syn-w038-01,a2,b2,1,0.394763,True,
syn-p038,syn-w038-02,a2,b2,0,0.417858,True,
syn-p038,syn-w038-03,a2,b2,0,0.040202,True,
syn-p038,syn-w038-04,a2,b2,1,0.676316,True,
syn-p038,syn-w038-05,a2,b2,0,0.136705,True,
syn-p038,syn-w038-06,a2,b2,0,0.346212,True,
syn-p038,syn-w038-07,a2,b2,1,0.506109,True,
syn-p038,syn-w038-08,a2,b2,1,0.743606,True,
syn-p038,syn-w038-09,a2,b2,1,0.726907,True,
syn-p038,syn-w038-10,a2,b2,1,0.473437,True,
syn-p039,syn-w039-01,a1,b2,1,0.497899,True,
syn-p039,syn-w039-02,a1,b2,0,0.1204,True,
syn-p039,syn-w039-03,a1,b2,0,0.341462,True,
syn-p039,syn-w039-04,a1,b2,1,0.847409,True,
syn-p039,syn-w039-05,a1,b2,,,False,synthetic_signal_insufficient
syn-p039,syn-w039-06,a1,b2,1,0.796593,True,
syn-p039,syn-w039-07,a1,b2,1,0.881137,True,
syn-p039,syn-w039-08,a1,b2,0,0.108445,True,
syn-p039,syn-w039-09,a1,b2,1,0.732264,True,
syn-p039,syn-w039-10,a1,b2,0,0.407017,True,
syn-p040,syn-w040-01,a2,b1,1,0.332165,True,
syn-p040,syn-w040-02,a2,b1,1,0.641762,True,
syn-p040,syn-w040-03,a2,b1,,,False,synthetic_signal_insufficient
syn-p040,syn-w040-04,a2,b1,1,0.699804,True,
syn-p040,syn-w040-05,a2,b1,0,0.37312,True,
syn-p040,syn-w040-06,a2,b1,0,0.383485,True,
syn-p040,syn-w040-07,a2,b1,0,0.498193,True,
syn-p040,syn-w040-08,a2,b1,0,0.160381,True,
syn-p040,syn-w040-09,a2,b1,1,0.650413,True,
syn-p040,syn-w040-10,a2,b1,1,0.387421,True,
syn-p041,syn-w041-01,a1,b1,1,0.621123,True,
syn-p041,syn-w041-02,a1,b1,1,0.530678,True,
syn-p041,syn-w041-03,a1,b1,0,0.079783,True,
syn-p041,syn-w041-04,a1,b1,1,0.904431,True,
syn-p041,syn-w041-05,a1,b1,0,0.323918,True,
syn-p041,syn-w041-06,a1,b1,1,0.667525,True,
syn-p041,syn-w041-07,a1,b1,0,0.22908,True,
syn-p041,syn-w041-08,a1,b1,,,False,synthetic_signal_insufficient
syn-p041,syn-w041-09,a1,b1,0,0.475673,True,
syn-p041,syn-w041-10,a1,b1,1,0.809083,True,
syn-p042,syn-w042-01,a2,b2,1,0.721804,True,
syn-p042,syn-w042-02,a2,b2,1,0.311344,True,
syn-p042,syn-w042-03,a2,b2,1,0.682302,True,
syn-p042,syn-w042-04,a2,b2,0,0.275849,True,
syn-p042,syn-w042-05,a2,b2,0,0.054536,True,
syn-p042,syn-w042-06,a2,b2,,,False,synthetic_signal_insufficient
syn-p042,syn-w042-07,a2,b2,0,0.036127,True,
syn-p042,syn-w042-08,a2,b2,0,0.303739,True,
syn-p042,syn-w042-09,a2,b2,0,0.481641,True,
syn-p042,syn-w042-10,a2,b2,0,0.424391,True,
syn-p043,syn-w043-01,a1,b2,1,0.599259,True,
syn-p043,syn-w043-02,a1,b2,0,0.180211,True,
syn-p043,syn-w043-03,a1,b2,0,0.101148,True,
syn-p043,syn-w043-04,a1,b2,1,0.869051,True,
syn-p043,syn-w043-05,a1,b2,1,0.950104,True,
syn-p043,syn-w043-06,a1,b2,1,0.581318,True,
syn-p043,syn-w043-07,a1,b2,0,0.183634,True,
syn-p043,syn-w043-08,a1,b2,1,0.69017,True,
syn-p043,syn-w043-09,a1,b2,1,0.626341,True,
syn-p043,syn-w043-10,a1,b2,1,0.63665,True,
syn-p044,syn-w044-01,a2,b1,1,0.587663,True,
syn-p044,syn-w044-02,a2,b1,1,0.483488,True,
syn-p044,syn-w044-03,a2,b1,,,False,synthetic_signal_insufficient
syn-p044,syn-w044-04,a2,b1,1,0.660879,True,
syn-p044,syn-w044-05,a2,b1,0,0.074376,True,
syn-p044,syn-w044-06,a2,b1,0,0.346786,True,
syn-p044,syn-w044-07,a2,b1,1,0.741861,True,
syn-p044,syn-w044-08,a2,b1,0,0.424908,True,
syn-p044,syn-w044-09,a2,b1,,,False,synthetic_signal_insufficient
syn-p044,syn-w044-10,a2,b1,1,0.531631,True,
syn-p045,syn-w045-01,a1,b1,,,False,synthetic_signal_insufficient
syn-p045,syn-w045-02,a1,b1,0,0.418359,True,
syn-p045,syn-w045-03,a1,b1,1,0.70481,True,
syn-p045,syn-w045-04,a1,b1,0,0.487878,True,
syn-p045,syn-w045-05,a1,b1,0,0.468017,True,
syn-p045,syn-w045-06,a1,b1,1,0.748806,True,
syn-p045,syn-w045-07,a1,b1,1,0.75351,True,
syn-p045,syn-w045-08,a1,b1,0,0.390811,True,
